Model,RMSE,Runtime (s),RAM (MB),Model Size (MB)
Ridge,3.7595528044474533,0.05206131935119629,0.46484375,6.4849853515625e-05
Linear,3.7595583851163465,0.061957597732543945,0.3125,6.4849853515625e-05
LSTM,4.284261493584414,449.18796730041504,96.83203125,0.12756729125976562
