Time,KZNA_avg_value,Temp,Humid,Pressure
2019-03-21 13:00:00,22.7,13.1999998,43.80040790965222,1023.0499878
2019-03-21 14:00:00,22.9,13.5,56.23276116960143,1019.2999878
2019-03-21 15:00:00,22.9,13.6000004,41.96009346835972,1027.5
2019-03-21 16:00:00,23.0,15.2999997,63.29456631226592,1013.5
2019-03-21 17:00:00,22.8,16.5,64.7906261736564,1023.9500122
2019-03-21 18:00:00,22.7,9.0,60.47858890041005,1029.0
2019-03-21 19:00:00,22.6,8.49999975,79.84802551724823,1012.3999939
2019-03-21 20:00:00,22.45,11.60000015,43.3662289604281,1015.8000182999999
2019-03-21 21:00:00,22.25,13.0,38.22107299719007,1017.3999939
2019-03-21 22:00:00,22.1,13.6000004,50.19008180890473,1012.8500061
2019-03-21 23:00:00,21.95,13.700000300000001,49.27549930944437,1017.0999756
2019-03-22 00:00:00,21.85,10.3000002,57.84903332377661,1023.9500122
2019-03-22 02:00:00,22.1,13.6000004,50.19008180890473,1012.8500061
2019-03-22 03:00:00,22.35,12.7999997,50.76486590500231,1012.2999878
2019-03-22 04:00:00,22.53333333333333,14.900000600000002,59.160290078192034,1007.5999756
2019-03-22 05:00:00,22.566666666666663,8.6500001,77.97142520726757,1014.25
2019-03-22 06:00:00,22.46666666666667,8.3999996,70.11527855462818,1030.6999512
2019-03-22 07:00:00,22.3,11.5,66.61211153796549,1012.6499939
2019-03-22 08:00:00,22.1,13.6000004,50.19008180890473,1012.8500061
2019-03-22 09:00:00,21.95,9.8000002,68.89605526385033,1029.5999756
2019-03-22 10:00:00,21.933333333333334,6.499999900000001,45.9158665405163,1024.7000122
2019-03-22 11:00:00,21.96666666666667,9.39999985,65.68404455793326,1017.5499878
2019-03-22 12:00:00,21.9,14.0,48.517157057826005,1026.6999512
2019-03-22 15:00:00,21.85,10.3000002,57.84903332377661,1023.9500122
2019-03-22 16:00:00,21.880000000000003,8.3499999,36.78830231930229,1016.8500061
2019-03-22 17:00:00,22.05,12.8000002,30.858448374516165,1020.3999939
2019-03-22 18:00:00,21.9,10.4000001,55.366204836572265,1022.0499878
2019-03-22 19:00:00,21.95,13.700000300000001,49.27549930944437,1017.0999756
2019-03-22 20:00:00,21.9,10.4000001,55.366204836572265,1022.0499878
2019-03-22 21:00:00,21.6,11.1500001,69.49683193870541,1022.75
2019-03-22 22:00:00,21.4,6.1999998,89.76376015837936,1015.5
2019-03-22 23:00:00,21.166666666666668,6.4000001,89.13140713572753,1015.1500244
2019-03-23 00:00:00,21.066666666666663,2.5500001,50.550739277391244,1023.2000122
2019-03-23 01:00:00,21.166666666666668,6.4000001,89.13140713572753,1015.1500244
2019-03-23 02:00:00,21.3,1.4,74.33500030872233,1030.7000122
2019-03-23 03:00:00,21.4,6.1999998,89.76376015837936,1015.5
2019-03-23 04:00:00,21.55,5.79999995,54.310383649078005,1023.1999817000001
2019-03-23 05:00:00,21.7,12.5,90.67087727182819,1015.3500061
2019-03-23 06:00:00,21.8,5.5999999,75.35261251388627,1026.6999512
2019-03-23 07:00:00,21.75,9.6499996,50.0,1016.8000182999999
2019-03-23 08:00:00,21.8,6.39999985,70.6773409330273,1025.8499756
2019-03-23 09:00:00,21.85,13.6000004,36.287549872549626,1023.9000244
2019-03-23 10:00:00,22.0,12.7999997,33.09654678060849,1020.7999878
2019-03-23 11:00:00,22.15,11.70000005,46.473950821110115,1020.6000366000001
2019-03-23 12:00:00,22.35,16.3999996,33.228237454829376,1021.5999756
2019-03-23 13:00:00,22.5,13.900000600000002,58.93514164241647,1009.9499817000001
2019-03-23 14:00:00,22.6,8.49999975,79.84802551724823,1012.3999939
2019-03-23 15:00:00,22.65,12.4000001,60.072526314955056,1017.5500182999999
2019-03-23 16:00:00,22.7,13.1999998,43.80040790965222,1023.0499878
2019-03-23 17:00:00,22.85,17.099999399999998,80.4066910568119,1017.8000182999999
2019-03-23 18:00:00,22.95,15.200000300000001,42.68607750313478,1020.2999878
2019-03-23 19:00:00,22.75,16.3000002,63.076953819752504,1015.8499756
2019-03-23 20:00:00,22.55,10.8999996,73.2287880656432,1017.3999939
2019-03-23 21:00:00,22.35,12.7999997,50.76486590500231,1012.2999878
2019-03-23 22:00:00,22.15,11.70000005,46.473950821110115,1020.6000366000001
