Time,avg_value,Temp,Humid,Pressure
2019-03-21 14:00:00,22.4,15.5,66.36661108993633,1013.9500122
2019-03-21 15:00:00,22.8,13.6000004,41.96009346835972,1027.5
2019-03-21 16:00:00,23.0,15.20000005,63.586128709830405,1013.0
2019-03-21 17:00:00,22.9,19.0,44.43189123524703,1012.25
2019-03-21 18:00:00,22.8,9.0,60.47858890041005,1029.0
2019-03-21 19:00:00,22.7,18.1000004,65.43272314628834,1016.25
2019-03-21 20:00:00,22.65,17.8999996,46.79057980985789,1013.25
2019-03-21 21:00:00,22.6,15.0,92.1485319462964,1018.4499817000001
2019-03-21 22:00:00,22.55,16.0999999,74.32088559423099,1018.1499939
2019-03-21 23:00:00,22.5,16.8999996,44.25508624499304,1013.0500182999999
2019-03-22 00:00:00,22.43333333333333,17.8999996,47.026473582083696,1014.25
2019-03-22 02:00:00,22.35,12.7999997,73.99112686628281,1013.7000122
2019-03-22 03:00:00,22.35,12.7999997,73.99112686628281,1013.7000122
2019-03-22 04:00:00,22.3,11.700000300000001,54.340472295615136,1009.6000061
2019-03-22 05:00:00,22.16666666666667,16.6999998,33.79426036168406,1020.6999817000001
2019-03-22 06:00:00,22.33333333333333,8.3999996,70.11527855462818,1030.6999512
2019-03-22 07:00:00,22.53333333333333,8.00000025,69.01977740133745,1026.2499695000001
2019-03-22 08:00:00,22.2,13.099999399999998,64.63612665216777,1020.3500061
2019-03-22 09:00:00,22.16666666666667,9.8000002,68.89605526385033,1029.5999756
2019-03-22 11:00:00,22.266666666666666,12.25,38.15819338806269,1017.1000061
2019-03-22 12:00:00,22.25,14.0,48.517157057826005,1026.6999512
2019-03-22 13:00:00,22.55,16.0999999,74.32088559423099,1018.1499939
2019-03-22 14:00:00,22.75,19.6999998,48.73662719250807,1012.9500122
2019-03-22 15:00:00,22.85,14.900000600000002,87.04404468032382,1014.0999756
2019-03-22 16:00:00,22.5,16.8999996,44.25508624499304,1013.0500182999999
2019-03-22 19:00:00,22.58571428571428,14.5,78.5427654117621,1016.6000061
2019-03-22 20:00:00,22.6,15.0,92.1485319462964,1018.4499817000001
2019-03-22 21:00:00,22.3,11.700000300000001,54.340472295615136,1009.6000061
2019-03-22 22:00:00,22.2,13.099999399999998,64.63612665216777,1020.3500061
2019-03-23 00:00:00,22.15,13.900000600000002,51.52657196706505,1019.7999878
2019-03-23 01:00:00,22.15,13.900000600000002,51.52657196706505,1019.7999878
2019-03-23 04:00:00,22.1,14.4999995,50.397279972704624,1019.4499817000001
2019-03-23 05:00:00,22.18,13.0999999,51.06214635933985,1025.5999756
2019-03-23 06:00:00,21.7,5.5999999,75.35261251388627,1026.6999512
2019-03-23 07:00:00,21.950000000000006,11.0999999,60.345349187698034,1018.4500122
